table_name,date,o,h,l,c,v,a
1000001,20190826,2851.02,2870.49,2849.24,2863.57,16989.54,19103666.9952
1000001,20190827,2879.52,2919.64,2879.41,2902.19,20814.18,23099968.7168
1000001,20190828,2901.63,2905.44,2887.01,2893.76,18309.79,20180505.3952
1000001,20190829,2896.0,2898.6,2878.59,2890.92,17861.31,19633276.5184
1000001,20190830,2907.38,2914.58,2874.1,2886.24,19396.0,22475117.3632
1000001,20190902,2886.94,2928.48,2883.68,2924.11,20278.68,22604369.1008
1000001,20190903,2925.94,2930.15,2915.2,2930.15,18900.12,22507015.3728
1000001,20190904,2927.75,2957.41,2925.88,2957.41,22549.59,25121269.3504
1000001,20190905,2972.66,3015.84,2972.66,2985.86,30543.87,34020065.28
1000001,20190906,2996.62,2999.94,2981.6,2999.6,21682.6,25831874.56
1000001,20190909,3023.78,3026.24,3005.69,3024.74,24337.78,28623654.0928
1000001,20190910,3027.41,3027.41,3005.38,3021.2,24001.29,27532174.9504
1000001,20190911,3029.93,3030.56,3004.22,3008.81,22983.74,26338956.0832
1000001,20190912,3016.63,3033.47,3005.19,3031.24,19696.87,22457602.8672
1000001,20190916,3041.92,3042.93,3020.05,3030.75,22187.9,23744226.9184
1000001,20190917,3023.71,3023.71,2970.57,2978.12,22333.81,23773893.4272
1000001,20190918,2984.08,2996.4,2982.4,2985.66,16804.67,19995362.9184
1000001,20190919,2992.92,2999.28,2975.4,2999.28,16269.06,19320655.0528
1000001,20190920,3004.81,3011.34,2996.19,3006.45,18214.53,21839059.3536
1000001,20190923,2998.4,2998.4,2960.83,2977.08,16813.94,19913054.6176
1000001,20190924,2979.48,3002.9,2973.76,2985.34,16390.28,20624580.608
1000001,20190925,2977.67,2977.67,2955.43,2955.43,16854.31,20378275.0208
1000001,20190926,2964.48,2970.04,2928.26,2929.09,18893.25,21627756.544
1000001,20190927,2929.49,2939.08,2920.93,2932.17,13290.58,15331100.2624
1000001,20190930,2927.92,2936.48,2905.19,2905.19,11664.68,14259170.5088
1000001,20191008,2905.76,2933.02,2905.76,2913.57,12553.58,15198078.5664
1000001,20191009,2902.08,2924.86,2891.54,2924.86,13042.41,15094023.7824
1000001,20191010,2923.71,2949.24,2918.23,2947.71,13423.98,15715998.1056
1000001,20191011,2954.82,2980.79,2943.01,2973.66,16120.37,18274739.8144
1000001,20191014,2993.96,3026.38,2989.81,3007.88,20861.48,22120176.0256
1000001,20191015,3005.66,3005.66,2986.3,2991.05,15537.69,16953193.2672
1000001,20191016,2992.61,3010.42,2975.92,2978.71,14988.55,16679154.4832
1000001,20191017,2979.99,2986.72,2969.57,2977.33,12252.76,13605125.3248
1000001,20191018,2982.34,2987.2,2933.24,2938.14,14999.07,16201827.9424
1000001,20191021,2933.9,2940.32,2917.69,2939.62,13247.51,14568588.9024
1000001,20191022,2945.6,2954.64,2934.39,2954.38,11748.2,13038174.208
1000001,20191023,2952.97,2957.3,2934.63,2941.62,12381.29,13965364.4288
1000001,20191024,2944.01,2953.04,2927.06,2940.92,12654.03,14166723.7888
1000001,20191025,2940.47,2958.24,2920.52,2954.93,13686.07,16022408.3968
1000001,20191028,2958.69,2980.13,2956.96,2980.05,17373.15,19881700.5568
1000001,20191029,2979.04,2979.04,2954.18,2954.18,16611.01,19528808.8576
1000001,20191030,2949.46,2953.3,2934.83,2939.32,15879.81,18152949.3504
1000001,20191031,2944.84,2946.75,2923.52,2929.06,16157.15,18180194.304
1000001,20191101,2924.34,2959.83,2917.15,2958.2,15990.74,17563084.3904
1000001,20191104,2964.58,2983.06,2964.58,2975.49,16724.84,18871009.28
1000001,20191105,2977.7,3008.31,2968.03,2991.56,17989.16,20369162.24
1000001,20191106,2992.04,2995.56,2969.72,2978.6,16526.35,18398524.2112
1000001,20191107,2978.15,2988.96,2969.12,2978.71,13695.27,15583487.5904
1000001,20191108,2993.98,2998.76,2962.84,2964.18,14974.21,17386722.0992
1000001,20191111,2949.96,2949.96,2906.77,2909.97,15791.61,16628514.816
1000001,20191112,2913.0,2918.3,2891.51,2914.82,12972.92,13906072.3712
1000001,20191113,2913.02,2913.86,2893.97,2905.24,12976.58,14694363.9552
1000001,20191114,2907.74,2917.37,2899.62,2909.87,12914.54,15157618.2784
1000001,20191115,2911.35,2917.83,2891.2,2891.34,13551.95,15257639.3216
1000001,20191118,2889.55,2911.38,2884.09,2909.2,12443.32,14467742.1056
1000001,20191119,2904.28,2933.99,2902.86,2933.99,13541.76,15577074.8928
1000001,20191120,2928.11,2930.49,2907.42,2911.05,13735.75,15854320.0256
1000001,20191121,2902.55,2910.36,2891.53,2903.64,12345.86,13985120.256
1000001,20191122,2906.24,2925.02,2873.99,2885.29,15862.34,18059383.6032
1000001,20191125,2885.61,2906.61,2880.65,2906.17,17858.74,17423458.304
1000001,20191126,2912.52,2915.04,2897.93,2907.06,17000.47,16549676.6464
1000001,20191127,2905.4,2914.49,2893.42,2903.19,13386.22,13744970.1376
1000001,20191128,2902.36,2909.84,2883.43,2889.69,11952.25,12261654.528
1000001,20191129,2885.97,2892.39,2858.58,2871.98,12261.3,14037131.264
1000001,20191202,2874.45,2888.89,2870.24,2875.81,12875.58,13935176.9088
1000001,20191203,2869.88,2884.86,2857.32,2884.7,12377.87,13527860.8384
1000001,20191204,2876.91,2882.5,2869.42,2878.12,12554.37,13587922.1248
1000001,20191205,2886.52,2902.0,2885.08,2899.47,14316.31,15973659.4432
1000001,20191206,2902.28,2912.01,2894.75,2912.01,13412.89,14950732.5952
1000001,20191209,2914.46,2919.59,2905.25,2914.48,16079.65,17454648.5248
1000001,20191210,2908.94,2919.2,2902.79,2917.32,17012.4,18061729.792
1000001,20191211,2922.6,2928.26,2915.0,2924.42,16554.11,17571608.9856
1000001,20191212,2926.34,2926.34,2913.48,2915.7,15176.08,16604415.5904
1000001,20191213,2937.78,2969.98,2935.85,2967.68,21197.86,23403654.3488
1000001,20191216,2970.97,2984.64,2958.71,2984.39,21186.21,23766676.2752
1000001,20191217,2985.26,3039.38,2982.5,3022.42,29303.23,30209091.1744
1000001,20191218,3021.47,3033.23,3011.72,3017.04,24408.97,25917362.9952
1000001,20191219,3017.15,3021.42,3007.99,3017.07,20862.43,22068828.5696
1000001,20191220,3019.64,3027.48,3002.26,3004.94,21507.58,22330503.9872
1000001,20191223,2999.04,3009.34,2960.44,2962.75,20571.66,21848427.7248
1000001,20191224,2965.83,2983.82,2960.68,2982.68,16303.03,16736667.2384
1000001,20191225,2980.43,2988.29,2970.66,2981.88,17565.4,18960855.8592
1000001,20191226,2981.25,3007.35,2980.4,3007.35,18244.04,19558608.0768
1000001,20191227,3006.85,3036.11,3003.63,3005.04,24710.28,25811874.6112
1000001,20191230,2998.17,3041.4,2983.34,3040.02,24806.65,26738299.6992
1000001,20191231,3036.39,3051.68,3030.51,3050.12,21742.9,22676399.7184
1000001,20200102,3066.34,3098.1,3066.34,3085.2,29247.02,32719713.0752
1000001,20200103,3089.02,3093.82,3074.52,3083.79,26149.67,28999172.096
1000001,20200106,3070.91,3107.2,3065.31,3083.41,31257.58,33118253.8752
1000001,20200107,3085.49,3105.45,3084.33,3104.8,27658.31,28815923.6096
1000001,20200108,3094.24,3094.24,3059.13,3066.89,29787.26,30651740.9792
1000001,20200109,3082.64,3097.33,3080.13,3094.88,24343.56,27171602.432
1000001,20200110,3102.29,3105.22,3081.4,3092.29,21044.25,24155566.8992
1000001,20200113,3091.49,3115.57,3075.38,3115.57,21062.1,25852405.3504
1000001,20200114,3120.67,3127.17,3105.61,3106.82,22997.38,27154243.584
1000001,20200115,3103.17,3107.94,3082.04,3090.04,20231.3,23291345.3056
1000001,20200116,3095.73,3096.37,3070.88,3074.08,20337.55,23684335.2064
1000001,20200117,3081.46,3091.95,3067.25,3075.5,19030.43,24227304.2432
1000001,20200120,3082.11,3096.31,3070.48,3095.79,21049.33,27112244.8384
1000001,20200121,3085.79,3085.79,3051.23,3052.14,23483.07,28626809.6512
1000001,20200122,3038.49,3069.25,3006.27,3060.75,22385.29,27845692.6208
1000001,20200123,3037.95,3045.04,2955.35,2976.53,27276.32,32749037.1584
1000001,20200203,2716.7,2766.58,2716.7,2746.61,21591.21,25701959.2704
1000001,20200204,2685.27,2786.16,2685.27,2783.29,36404.62,37406847.7952
1000001,20200205,2792.37,2842.74,2778.86,2818.09,30976.18,34918413.1072
1000001,20200206,2826.89,2876.59,2807.61,2866.51,31639.21,35858258.3296
1000001,20200207,2858.93,2875.96,2838.77,2875.96,30947.96,36238416.2816
1000001,20200210,2860.5,2891.85,2851.05,2890.49,29492.98,34152038.4
1000001,20200211,2894.54,2913.82,2882.24,2901.67,26916.83,30295683.8912
1000001,20200212,2895.56,2926.9,2892.42,2926.9,24873.34,29753442.304
1000001,20200213,2927.14,2935.41,2901.24,2906.07,27480.48,33452631.6544
1000001,20200214,2899.87,2926.94,2899.57,2917.01,25065.06,30808037.7856
1000001,20200217,2924.99,2983.64,2924.99,2983.62,31319.8,36701434.6752
1000001,20200218,2981.41,2990.6,2960.78,2984.97,31166.59,37499856.4864
1000001,20200219,2979.52,2998.27,2971.82,2975.4,31514.12,38133114.4704
1000001,20200220,2981.88,3031.37,2968.45,3030.15,34573.29,41376137.216
1000001,20200221,3022.25,3058.9,3020.14,3039.67,36455.73,44506208.6656
1000001,20200224,3027.89,3042.18,3007.36,3031.23,37043.0,45160136.704
1000001,20200225,2982.07,3016.95,2943.72,3013.05,44162.28,51312862.8224
1000001,20200226,2978.42,3028.78,2974.94,2987.93,46904.96,49534143.6928
1000001,20200227,2992.49,3009.46,2980.48,2991.33,35052.37,39595563.4176
1000001,20200228,2924.64,2948.13,2878.54,2880.3,40121.69,43265776.0256
1000001,20200302,2899.31,2982.51,2899.31,2970.93,36733.34,39724420.3008
1000001,20200303,3006.89,3026.84,2976.62,2992.9,41010.8,44705369.2928
1000001,20200304,2981.81,3012.0,2974.36,3011.67,35333.83,38989391.4624
1000001,20200305,3036.15,3074.26,3022.93,3071.68,44542.58,48277048.5248
1000001,20200306,3039.94,3052.44,3029.46,3034.51,36206.15,37738853.1712
1000001,20200309,2987.18,2989.21,2940.71,2943.29,41456.07,43814384.4352
1000001,20200310,2918.93,3000.3,2904.8,2996.76,39329.66,42501718.016
1000001,20200311,3001.76,3010.03,2968.52,2968.52,35247.1,37876662.272
1000001,20200312,2936.02,2944.47,2906.28,2923.49,30777.85,32820920.32
1000001,20200313,2804.23,2910.88,2799.98,2887.43,36645.04,39301965.4144
1000001,20200316,2897.3,2898.04,2784.66,2789.25,35187.87,37562698.9568
1000001,20200317,2796.28,2826.91,2715.22,2779.64,30614.97,32301282.0992
1000001,20200318,2792.32,2815.87,2728.76,2728.76,29115.99,31861139.0464
1000001,20200319,2719.41,2736.82,2646.8,2702.13,30230.27,33051800.3712
1000001,20200320,2727.02,2751.9,2702.49,2745.62,25201.95,28158335.3856
1000001,20200323,2677.59,2703.33,2656.5,2660.17,24982.03,26842324.992
1000001,20200324,2703.02,2723.41,2667.13,2722.44,25702.19,27899930.2144
1000001,20200325,2775.3,2788.64,2757.8,2781.59,27314.45,29319118.848
1000001,20200326,2761.9,2788.5,2753.43,2764.91,23408.4,24827977.728
1000001,20200327,2792.98,2805.55,2771.76,2772.2,24076.41,25363072.6144
1000001,20200330,2739.72,2759.1,2723.05,2747.21,23970.66,25068714.3936
1000001,20200331,2767.31,2771.17,2743.12,2750.3,21859.87,22427105.6896
1000001,20200401,2743.54,2773.36,2731.08,2734.52,21725.34,22562465.3824
1000001,20200402,2720.23,2780.64,2719.9,2780.64,21786.46,23311156.8384
1000001,20200403,2773.58,2780.59,2754.07,2763.99,20083.74,21406221.9264
1000001,20200407,2806.97,2823.28,2801.84,2820.76,27019.82,28662779.0848
1000001,20200408,2805.92,2823.21,2800.3,2815.37,24351.53,25315966.976
1000001,20200409,2825.84,2832.4,2820.43,2825.9,23818.48,24739299.328
1000001,20200410,2827.19,2833.02,2789.98,2796.63,23345.48,24637630.0544
1000001,20200413,2784.6,2792.89,2774.08,2783.05,17712.46,18412027.904
1000001,20200414,2794.8,2827.3,2789.43,2827.28,20269.66,22360570.2656
1000001,20200415,2826.66,2829.75,2808.7,2811.17,20562.11,23163163.4432
1000001,20200416,2798.43,2823.34,2796.84,2819.94,20300.38,22243260.8256
1000001,20200417,2835.56,2854.96,2830.02,2838.49,24573.68,28002523.5456
1000001,20200420,2840.41,2852.99,2833.26,2852.55,21184.71,23375930.9824
1000001,20200421,2842.24,2842.24,2808.02,2827.01,23323.59,24868859.0848
1000001,20200422,2814.07,2843.98,2808.48,2843.98,21732.0,23279678.2592
1000001,20200423,2850.51,2853.64,2835.9,2838.5,24877.9,26266204.5696
1000001,20200424,2834.94,2834.94,2802.5,2808.53,23518.51,24412228.8128
1000001,20200427,2812.24,2832.67,2802.96,2815.49,21013.1,22529371.3408
1000001,20200428,2819.99,2821.75,2758.25,2810.02,25387.27,27053475.4304
1000001,20200429,2801.38,2831.76,2800.74,2822.44,20206.18,22272022.9376
1000001,20200430,2832.38,2865.59,2832.38,2860.08,24245.53,27744092.16
1000001,20200506,2831.63,2879.26,2830.65,2878.14,24982.66,30389003.8784
1000001,20200507,2876.47,2882.02,2864.58,2871.52,22673.7,26860748.8
1000001,20200508,2882.71,2903.8,2879.2,2895.34,22682.21,27656270.6432
1000001,20200511,2901.57,2914.28,2884.38,2894.8,22512.04,27193063.8336
1000001,20200512,2894.62,2897.9,2871.23,2891.56,19708.3,23847621.4272
1000001,20200513,2882.96,2900.26,2875.54,2898.05,18506.13,22386691.2768
1000001,20200514,2887.06,2887.06,2869.18,2870.34,19777.62,23733696.9216
1000001,20200515,2880.71,2884.22,2863.37,2868.46,18898.36,24687819.1616
1000001,20200518,2872.52,2889.98,2862.27,2875.42,22602.29,28908958.5152
